given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
crystal,webb,6,holman street,rowethorpe,nora,3095,vic,19800226,6491894
lachlarn,ricard,40,wallaroeroad,,bowral,4158,sa,19531101,6012074
sophie,au,26,pelham close,locn n192,sandy bay,3192,vic,,4507512
elizabeth,nobli,33,rosebery street,glenomre,eatons hill,2458,vic,19820730,7294023
chandler,hamish,9,allavnale,eton place,bribie island,2831,tas,19871001,3981694
matthew,walms,1121,massi e place,the stockyards,dalby,3352,nsw,19280328,6147905
willim,lund,8,bridgedtreet,pevensey,bowral,4350,qld,19211017,4144401
mattheo,godfley,22,madigan street,tantallon,mayfield,2444,vic,19811231,1967139
ebony,piniros,16,ashby c ircuit,,meltonsouth,2913,nsw,19030607,6804193
noah,berry,58,alice jackse on crescent,rosehill,hawthorn,5251,sa,19240908,1446426
,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
jasmine,ryah,49,spofforth street,kirra vista,daylesford,3072,nsw,19161002,7987659
cleb,thorpe,4,river street,,granville,2641,nsw,19590118,7916134
caitlin,berry,29,carr crscent,bletchly aprk,corrimal east,4075,sa,19780804,2225444
angelina,lowry,20,browne place,craisgton,peakhurst,3284,qld,19350921,5692471
benjamin,morr ison,16,kingscotecrescent,malanda orchard,sanctuary point,0280,nws,19761231,3201927
evan,,3,livingstonavenue,,burleigh heads,2289,vic,19450220,8451831
dnaiel,fysh,27,appel crescent,,hermit park,2333,nsw,19620207,3085695
mollie,sherriff,9,dalley crescent,tarliunp,newstaed,4207,qld,19051216,5596459
seth,moovdy,42,scantlebury crescent,the lodge,sippy dawns,3156,vic,19270524,6853828
brianna,wardle,1,mcdougalll street,,beechbohro,3165,nsw,19440826,2063140
millie,neville,38,menziesn court,,toowoomba,2066,nsw,19950511,8251642
luke,mccartyy,5,bandjalongcrescent,,north curl curl,2160,nsw,19521124,9203828
hayey,ryan,2,lambrig gstreet,flt 67,jardee,2750,act,19880816,7698870
sophie,coulson,8,blackburn street,,mansfield park,5097,nsw,19690320,9010006
brodie,gren,169,staunton place,star court arcade,bellevue hill,3175,nsw,19690410,5667813
daniel,callahtn,119,halifax close,medical ce ntre,smythesdale,2400,nsw,19530309,3925704
mya,mccarthy,43,wakool circuit,,moona hwest,2063,nsw,19120729,5475592
liam,coenen,66,stretton c rescent,,patterson lakes,6060,qld,19690602,1128736
zali,white,,blackman crescent,glenairne,bundaberg,6280,wa,19020311,7291149
lachlan,ryan,51,totterdell street,roseglen,dalhy,3168,qld,19480724,7284475
fyynlay,deblasio,,longerenong street,werribee plaza,forest hill,2790,nsw,19161102,8968244
jarus,scamnoi,375,bissenberger crescent,dalmoora,goodna,4670,qld,19120912,6966609
nicholas,procter,1,cavanaughlstreet,sherwood,leevflle,2089,nsw,19031219,2662272
mia,white,6,theodore street,calaltobta,haddon,2905,nsw,19640403,5969084
spencer,klus,7,gatton street,whispern ig pines,young,5097,vic,19020122,4996874
hannah,rivers,5,collings street,,toorak,2487,nsw,19521217,6906828
coby,brinsmead,9,musgrave street,st francis vlge,canley heights,4552,qld,19391009,8442114
mitchell,green,,palmer street,,lake heights,2430,qld,19250116,7447942
mikayla,siviour,2,steinwedel street,cherry bank,pymble,0237,vic,19850704,2668143
lily,innis,57,harricks crescent,yarramdale,st albans,3002,qld,19880321,2533253
tayla,coulson,119,backler place,,toowoomba,4305,vic,19300517,5222388
samuel,gilbertson,7,phillips place,bulliac str eet,brewarrina,6151,qld,19581011,9448590
mi,haeusler,,stockdale street,rowethlrpe,cleveland,3011,nws,19091107,3742016
sachi n,,85,sparkes close,villa36 sovereign garden,cainrs,2750,vic,19820717,8721401
cheyenze,campbell,18,forbes street,kinjbii,bundamba,4814,vic,19080715,6532935
barisic,brianna,1502,haddon street,parish talowahl,launching place,3220,vic,19750703,5367822
aleisha,lowed,9,cavanaugh street,,mulgraeeast,2445,wa,19731203,3335374
emii ly,cobgin,3,knox stteet,,camperdown,2230,wa,19991209,9931751
talia,millaf,20,la perous e street,,kellyfville,2250,wa,19800606,3894135
shenae,leslie,45,jacka crescent,villa 5,oakleigh,4151,qld,19710804,4216793
gregory,timperon,38,engelbert wing,bentham street,berwick,2564,nsw,19531206,1115863
katelyn,newport,7,wakefield avenue,glenmore,moree,4662,qld,19401219,4895884
dimitri,kowald,4,watson street,,alice s prings,2430,sa,19510207,1597094
nicholas,scantlebury,25,kambah vlge,casuarina sh oppingsqre,fish creek,3585,nsw,19370405,8589026
flynn,zilkm,6,beaurepaire crescent,,duncraig,3068,vic,19500619,6378859
benjamin,bellon,11,croton street,omaru,artarmon,4406,nsw,19120805,3089666
jacobj,crossm an,19,stromlodrescent,,bassendean,5031,,19681226,6490727
zachary,hulands,51,caley crescent,,albany creek,5161,tas,19360826,9722255
elle,mattehws,54,maddock place,glenburnie lodge,park orhcards,6058,vic,19960094,9253952
kane,carbone,54,penrhyn street,solander centre,deer park,4030,sa,19960506,9098940
zoe,wastll,5,mount vernon drive,bandera,burwood,3350,vic,19981215,6868962
arren,matthews,,coombe street,ballyoby,wahroonga,3617,nsw,19860121,8047381
silas,coulson,29,bindon place,warra creek,kempsey,6457,nsw,19770903,3722652
carly,webb,31,dash crescent,frestoocotge,buffalo,3225,wa,19121203,5240972
ebony,zaffimo,24,max henry crescent,ripone state,newmarket,4305,qld,19420501,8073270
chloe,condo,36,yabsley place,munmurar park,mackay north,5082,nsw,19170115,7153959
imowen,whillas,121,embley street,flowerydale,molong,2170,tas,19090319,7145066
marlegih,white,1,fink crescent,dunbar,hackham,2165,qld,19900270,6423331
mitchell,flannery,2,wilkins street,paradise syprings,toowoomba,5088,vic,19581016,8712141
isabella,,576,grimshaw street,brentwood vlge,tar,2092,qld,19440214,5901255
reeve,stanlhy,4,alawa street,rowethorpe d1,mourilyan,2474,sa,19190811,5961670
robertza,caire,41,por t u4,welch place,beaconsfield upper,5113,sa,19630418,5100047
jeswica,blackwell,20,mcgeep lace,brentwoo dvlge,ermington,2795,sa,19801015,4099338
stephenson,danny,16,o'shanassy street,,armidale,3133,tas,19831019,8561604
chloe,lowme,344,phillipiaenue,lewin lodge,deagn,4306,aw,19840502,6220613
tinfina,harrison,5,deasland place,toolebewong farm,southbank,2217,nsw,19880108,4659883
georgia,clarke,278,blowerinb street,dunfieldpark,port pirie,6111,vic,19990330,3328605
seth,donaldson,1329,bean crescent,brae brun,camperdown,2153,vic,,1727482
,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
sophie,masojn,23,,,greensborough,2020,qld,19341211,7259553
devan,riddell,33,muellerstreet,red cross units,avalon beach,2257,nse,19391217,4921767
,noble,10,costello circuit,the manor braeside,bicton,2290,qld,19710327,9357658
karli,campbzell,58,burdekin avenue,brambletye vinyard,,2118,vic,19580309,4423725
zali,eglinton,14,adcock place,trewilga,woodlajnds,2122,qld,19300914,7126898
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187
nicholsa,ho,13,newdegate street,villa 2,elwood,4061,nsw,19680630,7806235
harrison,mcneull,1,geeves cort,branmigans,highett,2319,qld,19280108,6287203
emiiy,braithwaite,86,beasley street,belmont bayview park,st agnse,4814,nsw,19140328,4464915
lucyw,satterley,32,gill street,nepean shores,buninyong,4226,sz,19660516,9616924
lachlan,goldsworthy,5,wanganeen avenue,howie circuit,sheidow park,2038,sa,19380108,4133306
timothy,haythorpe,21,grund p lace,brentwood vlge,blackmans bay,2603,vic,19200714,2476740
blake,white,198,boldrewood street,winterp ark,nunawading,2067,sa,19180815,5832531
joshua,capel,1,clive steele avenue,spq acmp,woonrara,4207,qld,19090522,4415928
amber,nicolakopoulos,38,atkinson street,mount patrick,edgewter,2905,sa,19910707,9220881
isablel,lowe,18,wolff crscent,,sylvania,2032,nsw,19771116,5672191
alana,manson,52,,vivigani,cloverdale,2118,vic,19460725,4207566
blake,seted,17,chirnside circuit,rosetta village,balwyn north,2731,qld,19880408,3748565
brody,stearnnes,7,fincham crescent,binnal ong,thornbury,3639,vic,19440417,8363677
olivia,leong,57,naismit hplace,mckail,deer park,3177,nsw,19820831,5649007
joshua,avdic,8,archdal l street,nioa,nunawading,3134,nsw,19200415,9571448
devan,clatke,,windradyne street,buena vista,south perth,4127,nsw,19060130,3013362
jarryd,george,83,gilmore crescent,,wellakrd,3071,qld,19320810,4392990
william,richmond,7,redlands,totterdell street,metubg,6076,nsw,19110103,3661413
andie,george,118,mckail crescent,brentwood vlge,pelican dwaters,3121,wa,19490414,4798962
nicholas,commoyns,50,couchman crescent,lochlee,pardale,5169,sa,19980815,9438920
ethan,hand,1,lambrigg sitreet,rainmore,sout perth,5075,vic,19411222,3559682
vaszocz,adam,63,wyles place,willows caravn park,graveesnd,3153,vic,,1015197
tiarna,harrigton,1,crisp circuit,,mannm,5264,nsw,19060622,9303949
oscxar,zdanowicz,21,arndell street,craiglea,burwood,2088,vic,19450906,5103704
luge,menzies,14,,roskihll,barmera,6072,vic,19710422,8114472
charlee,,,coane street,mount ivew,thornlands,2548,nsw,19105412,1945725
tess,green,60,,ryhd-talog,port macquarie,3013,vic,19600324,5445613
jacob,beatton,,maharattacircuit,specialist centre,robertson,2643,nsw,19860630,9285118
,melham,21,kingscote crescent,kerry street,elizabeth vale,2663,wa,19911210,5648275
jacquline,maliauskas,4,jabanunggaavenue,longpkain,bundanoon,4878,vic,19840808,4094122
ella,campain,2,bimbiang nc rescent,st john of god hospital,seven hills,2160,vic,19900406,8809552
jajie,fernando,37,collings street,bogong apartments,lansdowne,3910,sj,19200720,1939746
abbey,malin,3,burkittl street,mailnga,north maclean,2080,vic,19850328,7401540
seth,jolly,16,reddall close,arrowgrove,colac,4370,qld,,7445552
ella,browwne,35,tanjil loop,cedavriew,berkeley vale,4564,qld,19480726,6646608
jack,collinson,4,blowering os treet,canobolasceaavn park,leeton,4212,nsw,19821223,5810985
tarnex,fitzpatrick,8,conjola close,,st kilda,4421,qld,19950715,8081610
mila,campbell,36,beasley street,krismark,dalby,2375,nsw,19010602,5343180
,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
kyle,badawee,5,staunton place,dockside marina b,altona n orth,3138,qld,19020413,3257675
sophie,noble,1,yambina crescent,sefton park,rues,6210,nsw,19440101,3325291
connor,camp,29,egerton close,gwandalan,riverhilts,2170,vic,19190905,5237893
hope,imogen,5,dumaresq street,delmar,beecroft,7307,wa,19770614,8438312
hayden,,13,durahm pl ace,hamiltno,young,3121,nsw,19780531,9988689
hudson,chadoer,86,campbellstreet,lazy acres,ingl ewood,4570,sa,19950220,8352621
james,reid,30,snodgrass crescent,diabllo,belmont,2261,qld,19790129,2073967
jasmine,camens,7,plowman place,c/-runaway aby marina,tennant creek,2088,vic,19020413,9907745
elki,nguyen,20,higinbothabmstreet,oakdale,waratah north,6168,qld,19111101,1060379
dylan,blacklow,100,stenhouse close,flr 5 john flynn medical centre,vermony,2538,nsw,19399222,8225337
keaton,green,47,salvado place,racecoruse,palinyewah,7008,nsw,19040705,3688006
samul,tunstlal,22,wattle street,bayana,fish cfeek,7216,wa,19840412,8429651
antn,goode,1,lalor stteet,killara homestead,taree,2195,vic,19081025,3128298
katelyn,cochrane,200,langdon avenue,kalamos,calen,3152,qld,19180604,2589251
,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
jacqueline,abbondandola,24,myers place,ingledell,seelands,2560,tas,19690218,7256635
jayde n,white,10,mcclintock street,,melvilke,4308,nsw,19590819,2360230
sasia,roberti,2070,wiburd street,dodonaea wing,rose bay,4078,vic,19691123,5721375
renfrey,annabella,32,quandong street,,dalby,3291,nsw,19880902,1074106
nicholas,huxley,12,biala place,c w v,anglsea,3109,nsw,19921105,6501674
wilson-wheeler,emiily,1,woolcock street,willandra,taree,2477,qld,19610625,8119451
lowe,robbie,27,ambalindum street,,armidale,4558,nsw,19680428,2465721
david,nguyekn,95,maurice place,palm grove,,3138,vic,19340626,7414934
stepahnie,tiller,281,mcleod place,villa 19,katherine,2680,vic,19631220,7432991
kira,kyricaou,70,hopegood place,rowethorpe,tiaro,5024,vic,19820117,3935956
emma,wevb,11,baracchi crescent,thornbrook,eight mil e plains,3016,qld,19910314,5201994
lewis,ryan,10,melba treet,binna burra mountain lodge,yerrinbool,5128,vic,19591211,9701047
riley,kelley,8185,edmond close,leisure living vlge,mount stuart,2706,sa,19390207,4148621
simone,clarke,105,lambriggstreet,,kirribilli,2765,nsw,19930504,6453396
bryce,laverty,3,dobinson place,weddinvkiew,woombye,3162,nsw,19950921,8513947
caleb,quiill,9,rosebery street,laura pengilly wing,granville,5007,nsw,19040203,8733587
dale,laundy,75,miller street,,redh ead,6112,qld,,8721689
natalia,maczkowiack,,badcoe sv treet,,south turramurra,3199,vic,19830221,7491278
alexa-rose,nguyen,,bemm place,,currimundi,4305,nws,19830703,4776446
reid,michael,8,terramora,upton street,macquarie fields,2452,qld,19050922,1117934
liam,jolly,10,endeavour sreet,pinnacles caravn park,mansfield,7310,qld,19931105,2506329
mackenzi,evertt,2,bettington circuit,bay city plaza,valla,3082,nsw,19870303,4768278
thurlow,alexandra,29,de bur gh street,,north turramurra,2197,nsw,19581002,9502776
nodh,reid,10,ellerston abenue,ahwahnee,inglewood,3032,vic,19310305,2293151
isabella,spikcer,,lumeah street,lochinvah,boyne island,2780,wa,19130404,1159942
gm,newel,23,steele srteet,kubin village,yehda,3202,nsw,19610112,2538798
john,ryan,,chuculba crescent,redfern station,,4605,vic,19840524,2056918
,webb,25,toolambi street,villa 235 henry kendall vlge,helens hill,6166,sa,19470715,1945645
angus,godfrey,1,lamingtons treet,ulc 4,pannawpnoica,5660,vic,19050930,8426472
miller,nguyen,23,arndell street,myalpa,athelstone,2483,nsw,19680122,3203561
green,india,11,feltus place,ningana,urangan,2197,nsw,19720703,8013479
lachlan,rawlibs,49,lochleugh,whispering pines,coonamble,2089,nsw,19261022,9145105
ale,mckerlie,20,short place,deepnedi,sefton,4370,vic,19890714,3276175
hayedn,marinos,10,chirnside circuit,allensleigh,success,6560,vic,19720613,6046848
isabeola,tinsley,181,,sherqood,maiden gully,5039,vic,19620924,7350425
lachlan,white,1,atherton tsreet,the mews royal hotel bldg,alexandra bridge,3390,vic,19810422,5260328
georgia,lionis,,fitchett street,summerh hill,dundowran,5520,vic,19910624,7770207
lara,stanley,89,napper place,,carlingford,3139,qld,19380827,4712092
joshua,webb,63,decker place,docker rivercommunity,morphettville,2420,nsw,19690619,9196315
joshua,fauser,2,unt 2,harrington pcircuit,kingsford,2280,nsw,19820606,4981335
victoria,campqbell,11,priddle treet,mungrup stud,doubelfiew,7009,vic,19721211,1936096
keelu,harrinrgton,296,brickhill place,henry kendall hostel,menindee,2830,nsw,19330913,1759909
delcay,erin,16,cooinda court,rowethorpe,swan hill,2480,vic,19120628,3648623
brandon,strangway,177,everard lace,dryroc k gulch,hinchinbrook,4121,nsw,19220610,4691109
alicia,hyland,112,fullagar vrescent,ambervale,keilorzeast,5161,vic,,9571063
maddison,mahon,62,ellenborlugh street,brentwood vlge,east gordon,2224,qld,19381111,9648098
zachry,white,324,kirkland circuit,r s l retmnt vlge,thornlands,3178,nsw,19120924,5293853
zachariah,nadels,68,,laureldale,northgate,2133,qld,,9143498
graham-jones,amelua,5,mcgivern crescent,,new town,2163,act,19000619,5592088
tala,rees,13,lethbridge street,,bront,3035,nsw,19800402,4895894
victoria,zbierski,70,wybalena grove,inverbeath,paralowie,5065,nsw,19720503,1267612
jayden,,3,o'sulliva street,the lodge,mount evelyn,2169,nsw,19331220,7133986
shanaye,navarro,103,central coast van park,frater crescent,dulwich hill,3064,vic,19211104,9601221
jessica,beam,19,glenubrn,griffiths street,toorak,5540,nsw,19040321,7839655
madison,campbnl,2,terrigal crescent,pendleside,port maquarie,4184,vic,19480830,4528630
jayde,glass,15,macarthur avenue,shillelath park,glenella,3200,vic,19161226,9446536
john,tuke,,moore street,cuthbertscourt,castlemaine,4558,qld,19570904,4216956
bradley,everett,13,greenough circuit,miowera,caves beach,2267,nsw,19660606,8990768
caitlin,basey,414,pelsart street,st francis vlge,daisyh ill,2113,nsw,19110711,7811311
davdi,stapenell,27,gosse street,treetops,new farm,2582,qld,19710118,6109183
kirra,watkiln,29,geelong estreet,,nicholls,2088,nsw,19700924,1203301
william,pia zza,219,monfries place,weemilah,pymble,5605,nsw,19150522,8044732
lily,krishnqn,2,bourne treet,redhill,keysborough,2604,qld,19681003,8956118
thomas,kinnane,10,centaurus street,water vew,bondi junction,2010,nsw,19700907,9269196
isabella,block,114,petterd street,westella,st albans,6149,,19111028,2274501
laur a,hefford,3,partridgqe street,homeo 186,bansia,6530,sa,,7280622
patrvrck,george,11,coxen stret,belleview,urangan,4051,nsw,19371129,5526595
tommy,white,4,preston street,ben hlil,wahroonga,2230,wa,19161007,3053568
,reid,11,,green lzgoon,camp hill,6026,vic,19671214,5483640
andr ew,renfrey,23,woolner circuit,mindaree,,3844,nsw,19490115,9309636
deakyn,bl ake,251,middleton circuit,rowethorpe,avalon beach,5171,nsw,19540831,2780999
jacqueline,verco,11,girdlestone circuit,kingston tower,cliftons prings,4152,,19340706,1075870
ale xander,vincent,51,gallagher street,top end,belmont,2333,qld,19150726,3732438
lauren,hilton,71,grayson street,glenmore,coroi,2645,wa,19150223,5611249
dakota,jeffries,27,redcliffekstreet,drayton villas,ringwood north,5113,wa,19050412,5624716
joshua,needham,20,,jackarand alodge,manunda,2325,qld,19130421,6586520
,reid,32,ina gregory circuit,john flynn medical centre,camira,3172,nsw,19041113,8734967
,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
juliana,akkermans,24,northwood park,jondol place,holswothy,4068,nsw,19970330,5071393
tate,spagnoletti,29,,tullatoola,wangaartta,4520,qld,19200505,7390367
henrya,ryan,22,marconi crescent,,tea tree gully,4019,qld,19930928,6244854
robert,carbone,64,james smith circuit,galloway,st kilda east,5038,qld,19141107,6153085
joshu a,browne,28,paul coe vrescent,the pinacle,williajstown,2271,vic,19091031,4631516
sienna,rya,3,laycock place,,lalor,4702,nsw,19680321,4809923
mikazea,stanfoeld,16,giltin an place,stefonair,maryborough,4816,qld,19911222,5549486
samantha,leong,124,,tilburoo,wantirna,3046,qld,19670430,2292707
olivia,whitw,2,sturt avenue,berkeleyvlge,ringwood,5016,wa,19941026,7159814
brigette,rankine,68,chewings street,gostwyck,west lakes,2229,qld,19750725,5214389
ja yde,crouch,42,westo atreet,waimaru,niagara park,2119,wa,19250406,8892697
chevonne,montakvo,42,baskerville street,kangaro o grnd,ventnor,2310,vic,19620511,7935536
mikayla,nguyen,11,jaunceyucourt,karinyag ardns,helidon,5197,nsw,19030122,3964863
rory,jehle,125,companion crescent,brinjrarmy,cromer,2340,nsw,19730227,1533301
emiily,green,31,applgelen,julius street,mount colah,2290,vic,19310530,7373124
luke,hursey,23,turriffstreet,inishmore,port franklin,4017,lqd,19220923,1219514
mitchell,crossman,75,wakefiel d garden,fairburn park,charlestown,3995,vic,19751101,4081790
annabelle,romeyn,18,ferrier place,sec 247,bray prak,6155,vic,19350129,2470380
ethan,coleman,64,ragless circuit,,hindmarsd west,4701,nsw,19650701,9807949
sokic,benjamin,21,must circuit,,sunshine,2153,vic,19001207,2513200
jasper,tsialafos,,stutchburh street,st framcis vlge,cook,2233,nsw,19220428,8232480
roberta,bishop,1,curtis place,,balaklava,3394,nsw,19261110,6627562
amy,masno,279,casuarina street,memorial hoyspital,bundaberg,3056,vix,19211126,4368305
madison,chandlder,29,luckman place,hd ticmera,pearl beach,2133,nsw,19930607,8841314
flynn,mason,11,wellshot,namatjira drive,blackburn north,2576,wa,19110824,2236689
gemaey,meadowts,42,alarmon crescent,kalang,nemingha,3146,vic,19230420,5029065
georgia,glover-smith,34,howse street,,rab,5340,wa,19790813,8934327
daniel,white,1,albermarke place,summer hill,brierfield,3810,sa,19870703,8258879
tanyshah,wiemann,68,anne place,fl t 167,strathalbyn,3337,nsw,19640904,8798582
georgia,petersen,20,temperley s treet,tieve tara,toowong,3715,qld,19700324,4385775
joshua,lowe,15,patton place,redlands,tarcutta,4705,sa,19120201,7132911
cheree,bowerman,55,tregearc lose,northwood park,st peters,3191,qld,19091213,3770636
joel,reif,7,pearsonstreet,lytton,floreat,3153,qld,19760904,1523622
maddison,fullgraxbe,44,hardey place,allunwga,forest glen,5070,qld,19110327,3898794
flynn,van heythuysen,2,shepherddon place,nunkeri,rose bay,2122,nsw,19780418,3254370
stroe h,luek,18,narryer close,mylandra,parkside,4125,tas,19180113,2662103
jessiac,bastiaans,130,beazley crescent,,ingleburn,3029,qld,19270912,7965000
alysha,reid,747,clive steel e avenue,townhouse 5,kiama heights,3710,vic,19940904,7294389
april,mcgrgeor,4,launcesto n street,hawkins masonic vlge,kardinmya,2207,wa,19541028,8809810
alexander,priedt,41,manu place,,bundeena,4701,qld,19420417,9205694
luke,paterson,80,rischbieth crescent,rooganore,spearwood,4035,vic,19120208,7700965
christian,dietrich,27,lindrum crescent,matilda blue,rostevor,4560,wa,19170307,3108840
bwn,armiento,40,burnell place,john flynn hospital,fairlight,3630,qld,,8511174
nikki,neigk,180,balfourcrescent,brentwood village,charlestown,2228,wa,19840720,7106885
riley,godfrey,300,clift ck,the lodge,oakwood,3108,nsw,19451121,3493339
alexandra,yiannoulis,159,archdall street,tall ipnes,rowville,3284,vic,19790913,7551259
bridget,hand,210,bunton place,flt 1 0,parkinson,2705,nsw,19391228,3815665
xanthe,ryan,1,cochrane fcescent,homevale,aldinga beach,3941,nsw,19030508,7629205
joshua,arribas,30,nicholas street,dangaroo park,kirwan,4086,nt,19800502,7705455
maxin,jolrly,8,huxley place,,mooloolaba,2220,wa,19330915,7131922
lucy,rees,78,galveston,badenoch crescent,macquarie fields,3076,nsw,19230613,8204200
kai,rachwal,128,ardlethan street,glenvaon,edgewater,4217,wa,19100330,5698267
isaac,loew,3,hemmings crescent,timber haven,williamstown,2380,vic,19880722,2762848
jacqueline,macphail,65,maddigan hstreet,oxonia,canterbry,2611,wa,19350403,8001638
george,robert,28,,nio ka,picton,4814,nsw,19400601,4149373
joshua,stalney,1,weddin circuit,rocklands,cabraatta,7320,nsw,19381229,5425400
benjamin,donaldson,34,dunoon street,westwood homestead,st algans,2611,nsw,19331111,2281465
ruby,warrior,5,ironbarkcrescent,margaret river carvn park,penshurst,3075,vic,19550812,5870334
