given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
claudia,huxley,108,crease place,edellen,north ryde,2464,vic,19441020,9295307
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912
lily,warnock,68,darling street,jeran,exton,2154,nsw,19620520,2626334
sebastian,mcneill,3,dryandra street,ferndale,west lakes,2265,vic,,2765960
ellouise,domingo,36,leach street,plain view,frankston,6062,nsw,19141125,2822912
danielle,webb,33,max henry crescent,willows trees,corio,2077,nsw,19711211,7999700
maliah,clarke,26,broadbent street,harlyn,tara,6151,sa,19520331,7298583
patrick,george,1,coxen street,belleview,urangan,4051,nsw,19371129,5526595
aidan,banham,8,rowntree crescent,locn 8774,tallebudgera,2284,wa,19280830,5929976
cade,newport,,britten-jones drive,the park,warnbro,2261,qld,,2081552
adam,smithson,4,newman morris circuit,medical centre,springwood,2087,nsw,19181006,7935674
nathan,sells,2,vickery street,yachting towers,magill,3223,nsw,19240701,6367815
katelin,dent,29,sugarloaf circuit,wildefell,windsor,4503,qld,19280517,4402607
billy,gigney,382,westall place,willaroo,moree,2037,qld,19130824,4206687
tiffany,green,32,sid barnes crescent,dudley specialist medical centre,wingfield,2027,qld,19860328,4528322
samuel,heidrich,7,mcgivern crescent,el-woodaro,highbury,3053,act,19710525,8110080
brooke,harrington,88,marcus clarke street,campaspe,lockleys,3042,wa,19910123,4738674
connor,foall,17,lamb place,,kilsyth,3174,qld,19140927,4900414
keeley,gaskin,128,winder place,chanak,west wyalong,3138,wa,19550702,4856464
charlie,zimmermann,68,tebbutt place,nuffield village,carnegie,3104,vic,19681220,2564958
harry,manthorpe,19,hodgson crescent,the blackhut,macquarie fields,2756,nsw,19841005,7232794
dylan,blacklow,7,stenhouse close,flr 5 john flynn medical centre,vermont,2538,nsw,19390222,8225337
cooper,girdler,9,arid place,,burwood,2577,vic,19630327,3241612
caitlin,bevis,46,smith street,grammar school,hawthorn,4878,nsw,19601011,3040069
john,homann,27,sid barnes crescent,king river palms c8,cranbourne,5159,nsw,19461027,4896844
jessica,mayer,25,dugan street,willandra,mittagong,6056,sa,19340201,3346974
liam,hemmings,4425,mimosa close,kinloch court,lockleys,3850,nsw,19051023,3194253
rebecca,coppock,3,homeleigh wallaroo road,tinaroo falls,embleton,6152,vic,19440414,2971980
heather,benger,8,fergusson crescent,palazz,currajong,2650,wa,19840803,9010502
isabelle,beattie,19,southern close,gulmarrad street,stanley,2615,vic,19460303,1698866
callum,mahon,79,mcintosh street,boronia,slacks creek,2145,nsw,19040909,2226255
charlotte,donaldson,3,federal highway,allamby biala street,kilcunda,4703,nsw,19541208,5650823
tiana,lionis,207,holroyd street,jewells medical centre,pennant hills,3463,qld,19990424,5662051
livia,swetnam,73,stapylton street,kanjara,roxburgh park,2212,qld,19790329,8689632
thomas,monis,30,schofield place,duck creek,terrey hills,2145,nsw,19620331,3724382
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320
alexandra,clarke,15,parnell road,rsdb 284,nedlands,4014,sa,19890608,7235143
ella,malzard,4,namatjira drive,tolemac,armidale,4220,nsw,19381112,6513848
matilda,kubenk,35,arabana street,carrington retrmnt vlge,revesby,2122,nsw,19901231,6501846
timothy,moujalli,14,cobby street,,christies beach,2617,qld,19910719,4552685
benjamin,lovelock,1,tanumbirini street,apmnt 203,willetton,4570,nsw,19980628,6282406
destynii,hope,24,barunga street,villa 3,st peters,4061,nsw,19210430,6586920
brianna,ryan,7,bingham circuit,beltunga,highett,6330,qld,19310316,9339689
madison,herbert,14,cowie place,old post office,glenmore park,2680,nsw,19950105,9689395
pearson,shepherd,13,de graaff street,springdale,beverly hills,2650,vic,19320517,6334586
isaiah,warde,61,mcphail place,sunbury,bonnyrigg,3929,vic,19090111,8475133
imogen,kiosses,2,quandong street,overnewton,arundel,5024,sa,19751002,1581588
julia,meadows,18,araluen street,st john of god hospital,crows nest,3174,nsw,19160818,7101191
lucinda,burrill,31,bamir square,corridella,inglewood,4557,qld,19471211,4875837
caleb,roberts-yates,40,millpost close,bandera,cobar,3500,qld,19670914,5399458
noah,mason,29,william hudson crescent,court units,elwood,3155,sa,19500215,8353213
ella,estcourt,12,gellatly place,mayfair,braddon,3850,nsw,19090814,2110759
riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,vic,19090429,7355856
nasyah,reid,14,groom street,warrina lakes,goonellabah,2775,nsw,19850813,9822354
ella,browne,35,tanjil loop,cedarview,berkeley vale,4564,qld,19480726,6646608
michael,cochrane,7,monaro crescent,ballarkona,hendra,4128,qld,19361016,5263623
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,1533923
imogen,white,12,macrossan crescent,peridon vlge,mount isa,2088,nsw,19580528,9882514
maya,nevin,351,rapanea street,chelsea house,evanston,2033,,19220204,9920408
madeleine,bradshaw,90,burkitt street,mindaree,tuart hill,3300,nsw,19180720,9562529
jack,moscatt,15,hosking place,,st kilda east,2600,vic,19611218,2565922
georgia,rees,40,maclaurin crescent,spring creek,fullarton,6233,nsw,19210305,5595588
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774
ruby,grobler,128,lonsdale street,tallinga park,newbridge,2105,qld,19190104,5332690
lara,dunis,7,rodda place,dry rush,casino,4170,nsw,19580928,2469542
zachariah,steed,24,hamelin crescent,surfers hawaiian,preston beach,4214,nsw,19300502,9340008
william,vanderwesten,11,william wilkins crescent,wyuna,grenfell,5290,nsw,19500801,2499394
layla,donaldson,71,mannheim street,sandalford homestead,urangan,2713,wa,19320608,5103641
samantha,chandler,183,macnamara place,st johnof god hospital,greenwith,2047,wa,19011201,6692802
alexander,jeffries,45,keartland street,,northbridge,3043,vic,19770408,3206197
talyah,mccarthy,8,carter crescent,eldamead,springwood,2170,nsw,19210913,4421495
isabelle,hope,140,ellenborough street,grimes paddock cotge,murray bridge,6152,qld,19480522,1334359
breana,thorpe,54,weipa place,kimberley,san remo,4660,qld,19660117,3264752
jordyn,bishop,18,jalanga crescent,salt box,yankalilla,2780,wa,19480428,2003024
connor,lungershausen,28,hilder street,morayfield exchange,redbank plains,4350,nsw,19431008,3687513
benjamin,limbert,201,blackman crescent,karinyah,woodbine,2228,nsw,19020429,5534369
julia,webb,86,english court,benachie,south grafton,4740,nsw,19700225,1675991
robert,sheldon,37,baume crescent,springdale,cowra,4650,vic,19301118,7823439
angus,chandler,20,archibald street,,eight mile plains,6150,qld,19531214,3626178
talia,wotton,211,burn street,gillin park,seymour,0812,nsw,19781119,8432542
robert,gibb,2,mckeahnie street,spring creek,frankston,2450,wa,19440618,9181026
keeley,heron,60,krichauff street,,bonnyrigg,3021,nsw,19191230,5319794
madeleine,noack,44,forbes street,woodsong,coombabah,7320,,19490830,2378967
joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,6454105
nicole,daykin,3,hannan crescent,cooroora,gwynneville,2318,qld,19120515,8485229
angus,godfrey,1,lamington street,ulc 4,pannawonica,5607,vic,19050930,8426472
adam,tiller,13,westfield shoppingtown (next to medicare,sec 161,page,3128,vic,19410419,2449378
sophie,blackwell,34,nott street,jorobe,lansvale,6149,nsw,19501128,7543684
aleesha,mahmud,101,mcculloch street,saraji mine,ulverstone,6064,nsw,,9126691
ryan,lindholm,41,coolibah crescent,acadia,kingston,3116,vic,19110222,9865390
matthew,sincovich,95,grylls crescent,,barrack heights,4221,nsw,19600731,4440480
charlotte,bristow,22,mockridge crescent,nioka,harbord,5086,nsw,19351112,4814908
caleb,miotto,6,besant street,shadell,bayswater,3033,sa,19610729,6597548
ruby,bellchambers,298,winnecke street,siesta caravn park,mosman,2330,tas,19140325,2384529
giaan,blake,7,slessor crescent,ferndale,dapto,2171,qld,19930815,6835476
jamie,hoffman,592,dalrymple street,carrangarra,vaucluse,4356,nsw,,4392122
jamie,lando,38,dominion circuit,brundah property,southbank,2800,sa,19510314,7802847
stella,plumb,11,leist street,emerald banks,burnie,3152,wa,19020227,6990160
michael,seib,107,spain place,heritage est,carine,3802,tas,19520914,7908615
billy,hawes,50,ella close,executive arcade,mosman,5461,vic,19110524,1201773
,webb,15,honyong crescent,wurtulla shopping vlge,narooma,4114,qld,19430207,5897606
samuel,neville,6,fitzmaurice street,karkatt,gilmore,2517,wa,19591005,2038776
charlie,roles,12,clare place,taskers village,hayborough,2550,nsw,19620604,6836262
louise,heenan,,,fernlea,lakes entrance,5120,wa,19860621,4096585
tahlia,lowe,,clear street,millwood,stanwell park,2452,nsw,19150218,4957408
pino,snelling,82,fitzalan street,torrington,avondale heights,2170,nsw,19380415,6497858
jesse,jukic,174,dirrawan garden,cranbrook,coconut grove,2206,nsw,19411121,6016032
emma,reid,20,jondol place,cooladie,blackheath,2034,qld,19620904,6564371
edward,dent,28,shipard place,glenview,picton,4020,vic,19480210,5693557
kate,dent,42,morrison street,lyndale park,williamstown,2067,vic,19040818,6983231
emiily,reid,788,tullaroop street,padgee,cooloongup,2640,nsw,19030519,7983751
nathan,sieber,21,spowers circuit,white patch,findon,2430,,19681127,8987260
jared,meaney,2,northbourne avenue,york house,mitcham,3141,qld,19431210,3744694
pia,maczkowiack,52,kalgoorlie crescent,ambervale,,3002,vic,,5924648
jordan,george,114,rapanea street,peechabella,maryborough,4123,vic,19951020,4523010
eliza,zimmermann,15,sydney avenue,bass highway,booval,4701,nsw,19480506,6758505
talan,stubbs,21,augustus way,ashell,croydon north,3032,wa,19221022,7550622
sarah,green,9,mceachern crescent,watchorns hill,southbank,3163,qld,19550529,5453855
grace,carbone,37,longstaff street,gleneira,seymour,6233,vic,19380212,4562990
cameron,walls,7,carruthers street,flt 2a,tucabia,2036,nsw,19461005,8102234
tommy,matthews,23,quiros street,lift,north ryde,2229,wa,19051224,9644815
sophie,mason,20,johnson place,mt providence hostel,hope valley,6056,wa,19580507,9799282
renai,byers,31,goyder street,rivonia,yankalilla,6722,vic,19760805,7669938
hayden,marinos,10,chirnside circuit,allensleigh,success,6560,vic,19720613,6046888
ruby,reid,6,tanumbirini street,templemore,bundaberg,3134,qld,19490517,4966992
zachary,thorpe,101,o'shanassy street,northwest medical centre,cobains,5242,nsw,19340712,2541552
kane,ahier,47,farncomb place,glenhurst,,3083,qld,19031104,8076744
daniel,warusevitane,123,mccaughey street,lemnos,lismore,3023,vic,19990918,9753591
charles,hurkett,36,pocket avenue,craigview grove,rowville,3223,nsw,19841222,9205765
thomas,matthews,144,medworth crescent,,booval,4502,nt,19630219,2894576
amber,coleman,13,lennard street,barnawartha,bourke,4163,vic,19960625,2700453
talia,berry,24,nemarang crescent,,nollamara,3707,vic,19690713,1239638
harley,matthews,32,badimara street,munmurra park,kinross,6051,qld,19820215,7336254
amy,jessup,27,,sect 12,gawler east,2824,vic,19461007,9991046
scott,lodge,2,haynes place,glenfine station,flagstaff hill,6060,vic,19651012,1604189
lily,matthews,57,captain cook crescent,,matraville,2774,vic,19420708,9637615
ethan,paine,111,galloway street,hvd cottage,largs,4680,vic,19190329,5356894
lauren,gibb,35,tenison-woods circuit,the gums,adamstown heights,6333,nsw,19090430,3651643
riley,landow,43,hannaford street,wattle tree,marayong,6025,vic,19971031,4812402
abbey,matthews,12,de graaff street,denture clnc,woy woy,2902,qld,19850806,6455816
harrison,capurso,7,erldunda circuit,bellbird ctge,jan juc,6233,vic,,4086030
danielle,nygaard,1,battersby circuit,iron shoe lodge,burwood,5271,nsw,19350414,2589501
sarah,grosvenor,190,moyes crescent,hillcourt,ballarat,6155,nsw,,6043963
gus,stanley,244,,markool,williamstown,5259,vic,19380424,1941202
kiana,dixon,53,dugdale street,tremearne,ringwood north,2260,nsw,19120229,3234392
mitchell,mason,5,hurtle avenue,lucerne park,telangatuk,4812,qld,19130817,9172315
emiily,beams,11,bissenberger crescent,karobean,wombat,4703,tas,,7917828
ethan,miell,,barwell place,oreel,ashfield,3941,sa,19830725,2215887
noah,clarke,608,bindel street,anstee court,boggabri,5158,nsw,19540920,8260965
kobe,jolly,26,alroy circuit,salmaldo caravan park,kyabram,6317,sa,19841213,4583639
harvey,dunstone,23,merrett garden,guest hse,macedon,2097,nsw,19150106,8080352
dillon,lowe,31,faithfull circuit,mlc centre,colac,2088,nsw,19961116,6464208
sarah,campbell,9,clavert place,merricroft,mount eliza,5280,qld,19410302,9870428
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047
jessica,dixon,161,fred johns crescent,the swamp,roxburgh park,3556,qld,19281113,6245244
cooper,blake,90,packham place,australia fair medical west centre,surfers paradise,2747,vic,19100307,2013713
pino,matthews,65,blamey crescent,wilderness,hexham,5253,vic,19010717,6537217
isabelle,huxley,42,rosenthal street,antigua,hocking,3825,qld,19820920,3356088
jesse,herbert,16,popplewell place,summer hill,toowoomba,3810,qld,19981021,5942526
isabella,spicer,19,lumeah street,lochinvah,boyne island,2780,wa,19130404,1159942
bridget,bordin,27,froggatt street,villa 3,nhill,2016,sa,19290813,9532722
ruby,matthews,15,chauncy crescent,kildrummie,armidale,3616,sa,19060824,1111899
kiria,grossman,41,maribyrnong avenue,greta main,buninyong,3163,sa,19180518,3161935
cooper,hammer,20,eggleston crescent,,bunbury,4703,qld,19680910,7753471
annabelle,couzens,27,mcluckie crescent,earle haven retirement village,,0870,vic,19260508,9397671
samuel,eglinton,17,tanumbirini street,birks harbour,raymond terrace,2176,vic,19690927,1843263
georgia,simmonds,16,hurley street,iowanna,mittagong,2100,nsw,19230413,5714719
ethan,hipkiss,7,lempriere crescent,spring creek,woolgoolga,3199,qld,19500912,3524910
jacob,white,11,wilga place,yarramine park,wallabadah,4061,nsw,19760515,6381291
lachlan,rawlings,49,lochleigh,whispering pines,coonamble,2019,nsw,19261022,9145105
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525
giorgia,ditty,10,williams street,rawdon hill,tarnagulla,2404,vic,19171102,3194066
matisse,geissmann,10,bootle place,,yarramalong,5607,nsw,19080212,7779910
caleb,deakin,61,clem hill street,rowethorpe,craigmore,4285,nsw,19930428,2238546
oliver,nguyen,114,mulder place,shalestone,elizabeth park,2150,vic,19190909,6981679
thomas,carbone,94,summerville crescent,flt 45,geraldton,2229,vic,19070308,3226668
brigette,siviour,19,bromley street,rowethorpe,parramatta,3204,nsw,19691123,4393770
thomas,berry,3,moruya circuit,glenview,mansfield,4077,nsw,19580917,8025349
kiera,everett,4,rohan rivett crescent,brindabella specialist centre,alice springs,5558,nsw,19371021,2315324
charlotte,,234,mcgee place,allandale,cranbourne,3124,vic,19310603,8602736
gus,gissing,13,barber crescent,nyarrin cottage,tully,4151,vic,19210115,3954831
isabella,tinsley,181,chewings street,sherwood,maiden gully,5039,vic,19620924,7350425
sebastian,collier,14,cutlack street,tara park,east fremantle,3191,vic,19571223,7739308
caitlin,morrison,8,augustus close,,clarkson,4170,nsw,19130704,9362649
noah,giannoni,81,burraly court,colloca vale,north ryde,6155,qld,19720817,6906870
harry,dignam,22,investigator street,,fairlight,2535,qld,19241105,2134538
chevonne,simmonds,24,victory place,dandarra,hoppers crossing,2074,qld,19420531,3553538
heath,everett,7,hurry place,reinfrew park,belmont,2447,qld,19430804,7474300
april,wehr,1,ellerston avenue,darlington,joondanna,2150,wa,19941109,2560536
abbey,dixon,1,marcus clarke street,grasmere park,scarborough,3141,qld,19441008,8127929
jarred,rider,500,robinson street,goldview,evans head,3123,nsw,19401202,2875179
jenna,alderson,223,eggleston crescent,west-view,granville,5070,nsw,19780926,6446268
desi,spargo,114,tenison-woods circuit,kenara,abbotsford,7261,qld,19800308,9515868
luke,white,31,outtrim avenue,glenora farm,flinders bay,2227,sa,19151010,6925269
ruby,rollins,28,flinders way,lazy acres,kilsyth,3775,nsw,19941004,3535164
koben,courtenay-ralph,30,illidge place,,st peters,3363,nsw,19921228,1887648
hannah,reid,21,bisdee street,tall pines,malvern,2478,qld,19840208,1762901
oscar,zdanowicz,4,arndell street,tilburoo,burwood,2088,vic,19450906,5103704
emiily,rundle,112,tarago place,fiveways,brookvale,2122,nsw,19461226,2419260
daniel,rollins,22,hemmings crescent,flt 68,wantirna,3916,nsw,19840108,9812011
laura,hefford,3,partridge street,home 186,banksia,6530,sa,,4977825
charli,soden,37,bee place,,como,3028,nsw,19030206,7856242
ayla,poore,11,cowdery place,richmond caravan park,dover,2200,nsw,19200801,8015794
oscar,chegwidden,12,currong street,terrawah,mount eliza,4824,vic,19981224,6135137
sienna,kilby,21,archdall street,yoorana,st albans,2090,qld,19940203,8614284
justin,weller,3,sprent street,heritage est,thornlie,2074,nsw,19441214,5085526
mystique,agius,79,meeson street,cherry haven,albion park,3104,vic,19070427,4578360
holly,rees,2,palmer street,granny flt,nairne,2387,,19700911,3352448
amy,blake,351,prevost place,warramunda,hammondville,4422,nsw,19920715,6686050
brandon,freiman,27,tucana street,sunnyhills,tweed heads south,2500,nsw,19370325,3419459
lucas,portors,6,ballard place,mariner views,noble park,4061,wa,19381227,6890246
kimberly,mason,150,tauss place,,rosewater,7008,nsw,19840507,5663441
rhys,horsley,11,,calala farm,sale,7310,wa,19070227,5179281
hudson,chandler,86,campbell street,lazy acres,whittington,4570,sa,19950220,8352621
adam,reid,50,disney court,,tea tree gully,3690,nsw,19550102,8441272
bryce,laverty,3,dobinson place,weddinview,woombye,3162,nsw,19950921,8513947
zali,white,89,blackman crescent,glenairne,bundaberg,6280,wa,19020311,7291149
emiily,robnik,288,gosse street,townview,werrington,4216,nsw,19671025,8062583
alana,weluk,,cade place,locn 5940,crestmead,7006,nsw,19150308,5179887
emiily,wilkins,22,green street,liselican,darlington,3101,,19610512,5342428
michaela,dunstone,37,deane street,rosedown,woodcroft,2065,vic,19121018,3166178
nicholas,beattie,7,edmondson street,goughs bay,modbury,2036,wa,19170811,3374275
alessandra,van groesen,,arthur circle,hse 4,o'connor,3040,sa,,5885340
noah,bishop,23,shannon circuit,eriswell park,south perth,4551,nsw,19210214,5100494
connor,moscarda,20,lindsay street,shepherds hill,mount beauty,2319,nsw,19010223,1065886
angelica,coleman,31,meldrum street,the briar patch,semaphore south,4035,nsw,19150104,1940066
samantha,papoutsis,21,titheradge place,st francis village,wyoming,3300,vic,19260627,7785823
samuel,coulson,1186,wheatley street,kintyre,acland,3183,qld,19050630,1100698
alyssa,pastars,9,southern cross drive,clarence chambers,thornbury,4659,nsw,19530614,3112840
riley,okoniewski,91,howitt street,rp 24089,rylstone,6174,vic,19101121,1234018
olivia,trigwell,13,waldock street,wilpena,new lambton heights,3194,vic,19571126,9991752
nicholas,leung,40,moorhouse street,two tree hill,boondoola,3732,vic,19951115,7261271
mya,hoffman,757,cantor crescent,largo,kallista,5033,wa,19440312,2516740
michael,maynard,132,rogers street,leisure living vlge,pooraka,2144,nsw,19570508,3096389
joe,clarke,7,skardon street,bonnie doon,north curl curl,4122,sa,19640223,3654594
solomon,wasson,37,hewlett circuit,utopia,mermaid waters,3021,vic,19840211,4681625
aiden,krishnan,34,zadow place,the meadows,,3355,qld,19670810,2542394
taylah,nguyen,11,hoddinott street,bridgefoot down,,2022,nsw,19030702,2003210
tayah,white,87,chowne street,sweet waters,mona vale,2206,sa,19390323,2815977
isabelle,mccarthy,3,nullagine street,pangani,scarborough,0846,sa,19660628,6386847
luke,wardle,30,holyman street,middle ridge medical centre (cnr ramsay,kirwan,3073,wa,19500525,9974023
hayley,roles,4,newlop street,rabbit warren,acacia ridge,2770,vic,19581005,7340730
tyler,beattie,4,cambridge street,kintyre,deagon,3151,vic,19950713,3309482
harriet,horsley,12,woinarski place,white lodge,mulgrave east,3280,wa,19710926,4215401
christopher,shinnick,39,haugh place,athlone,blacktown,3766,nsw,19230116,8362475
sam,neophyton,16,albermarle place,sec 1,springwood,2500,qld,19670216,6643294
elly,webb,11,gouger street,evergreen,leichhardt,2550,nsw,19240923,6770160
alexandra,vinaev,88,kinsella street,brentwood village,leeton,2045,act,19161210,5025450
tahlia,donaldson,59,badimara street,gibraltar,smithfield,3149,qld,19630202,1983061
lauren,perre,22,castleton crescent,karinyah,orange,7250,qld,19820605,6993851
madeline,lowe,272,fergusson crescent,,carrara,6066,sa,19651206,8520720
jaimee,bowerman,1,sainsbury street,tiverton,coonamble,3155,nsw,19510309,2542408
mikayla,mainero,54,haddon street,monkani,graceville,2250,vic,19240330,1458740
imogen,kaleb,39,colebatch place,wearmouth,torquay,2566,nsw,19591029,7623050
jade,innis,9,gingana street,ivydale (rsd 1820),seventeen mile rocks,2011,qld,19170426,2049123
harry,boyes,14,kadina crescent,hobbit hole,regents park,3199,qld,19550309,6398424
jake,yeoman,8,shakespeare crescent,westella,penrith,2047,vic,19870808,2098452
pace,musolino,16,guerin place,rosetta village,thornbury,4019,nsw,19640423,5906492
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762
catherine,dolzan,8,burrinjuck crescent,bakers creek,west kempsey,2615,nsw,19441222,8238507
juliana,watkin,18,feint street,laura pengilly wing,doubleview,4032,qld,19710311,8665714
jasper,miles,20,narryer close,moondah,nambour,4113,vic,19160130,3809763
jacobie,shepherdson,316,augusta court,pinda,ardeer,5069,nt,19830606,2226979
alex,fitzpatrick,28,vancouver street,c/-the student village,coomalbidgup,2229,nsw,19240702,4146666
simone,goz,313,marconi crescent,alabama,bayswater,3029,qld,19080313,1331839
skye,ryan,39,anningie place,terra nostra,macedon,3079,sa,19190311,8669770
oliver,rundle,82,priddle street,myross,dural,2061,nsw,,2156141
talia,collinson,20,oliver street,,paraburdoo,3197,nsw,19320209,1496537
ruby,reid,12,judkins street,the willows,airds,4350,sa,19300620,8834327
madeline,switalski,14,clarendon street,lawrence house,belmont north,4034,qld,19710420,5929235
genevieve,ronan,37,mokare street,finis river,yunderup,2675,vic,19980924,9571750
malakai,neville,71,pleasance place,macarthur place,wanniassa,3875,qld,19730731,5739885
hannah,candida,48,santalum street,moorabee,,2030,vic,19210519,9787204
kydan,webb,1,emily bulcock crescent,belmont bayview park,fairlight,3055,wa,19510310,9153676
luke,mcphie,20,wheadon street,beltunga,christmas creek,6058,nsw,19110123,8869942
destynii,humphreys,41,black street,najee,carrum,4066,nsw,19810924,6458612
cameron,lavis,2,albermarle place,dananbilla,glenwood,6442,vic,19410723,5700120
noah,reid,46,truscott street,mckail,dulwich hill,2049,qld,19421216,9564581
holly,petersen,13,marou place,never die,birkdale,6530,nsw,19271213,9500792
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807
oliver,tootell,363,shackleton circuit,myola street,cardiff,3182,vic,19000604,8984164
connor,trimble,75,werriwa crescent,scts crk,mill park,2162,nsw,19290729,5610380
shakirah,van der steege,51,newdegate street,airforce memorial estate,darlington,3630,tas,19580903,8013399
elli,sindorff,15,lansell circuit,palestine,yagoona,2145,sa,19671114,5791840
flynn,fitzpatrick,19,burns circuit,the willows,tuggerah,3033,vic,19550713,1010947
alex,webb,92,outtrim avenue,st francis village,paddington,3056,nsw,19700807,5594371
samuel,wilkins,16,schlich street,wildes mdw,hayborough,3152,nsw,19680910,2994606
taliah,morrison,7,cope place,strawberry fields,dover,6714,nsw,19090828,3519655
giorgia,smallacombe,10,dundas court,somerton park,glengarry,4108,sa,19990313,6657239
benjamin,hartland,40,ranken place,sorrento,collie,3799,qld,19080206,7081220
ethan,hand,1,lambrigg street,rainmore,south perth,5075,vic,19410622,3559862
michael,boyle,3,river street,,lakemba,2611,vic,19091217,7962096
timothy,matthews,2,blandon place,harrowvale,mill park,3184,nsw,19560930,6083907
cassandra,webb,15,wentworth avenue,,mill park,5290,nsw,19300310,2827902
judah,clarke,27,duncan street,table mountain,aspley,4670,nsw,19190222,7875071
jade,worsley,,waller crescent,st francis vlge,cabramatta,7190,qld,19491001,6141371
clodagh,sieber,14,pandanus street,highfields medical centre,davistown,4066,nsw,19140913,2698880
caleb,bristow,134,brunswick circuit,granny flat rear,mclaren flat,5019,tas,19720321,7570563
nicholas,wheatley,64,cox street,venture,fennell bay,4740,qld,19681129,6155450
meg,matthews,42,mccawley street,vambi back,carlingford,6058,qld,19850331,6932257
benjamin,coleman,12,canopus crescent,,port kembla,2795,qld,19010422,1651755
kylie,stanley,10,bugden avenue,wrem house,nunawading,2653,sa,19481020,6634230
aiden,mcmellon,10,cromwell circuit,redwood lodge,wanneroo,2666,vic,19301206,9452274
thomas,humphreys,35,mayne street,gull cottage,the entrance,2000,qld,19880516,3033985
benjamin,everett,17,herron crescent,redhill,forrestfield,3550,nsw,19621023,2043392
tommy,morrison,49,mcnamara street,rowan lodge,north ryde,2038,nsw,19231010,1815246
rachel,godfrey,41,discovery street,2/98-latchford barracks,trigg,6019,wa,19030330,7434268
jacob,maynard,11,lutana street,caprice,lower templestowe,2720,nsw,19370219,2009297
michael,acciairresa,18,eyre street,george forbes house,preston,4218,vic,19580720,5106898
blaize,matthews,119,mirning crescent,laurel bank,ardrossan,2550,nsw,19441202,5876491
imogen,carlington,45,mcinnes street,parish talowahl,girilambone,2154,nsw,19781117,7912921
tasman,green,36,wynn street,nixon hostel,penrith,2132,qld,19390608,2928427
chelsea,sherriff,16,gellibrand street,electorate office,willetton,4680,qld,19221231,6905458
christina,taute,30,casson street,old mia mia school,swan hill,2161,qld,19461002,1050753
marley,waller,9,namatjira drive,dangaroo park,unanderra,2614,sa,19350812,3973825
ellen,hare,9,windradyne street,,rosebud,6076,nsw,19910512,5036453
connor,godfrey,50,centaurus street,locn 5940,o'sullivan beach,2216,qld,19010823,7376725
